time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
11868,1300;3,6430;0,1247;63,1931;0,2548;63,1931
11926,2068;3,6430;0,1247;61,9238;0,2709;61,9238
11984,5741;3,6430;0,1245;62,5919;0,2612;62,5919
12041,8117;3,6430;0,1247;62,7255;0,2727;62,7255
12098,9782;3,6430;0,1248;61,6566;0,2824;61,6566
12156,3181;3,6430;0,1246;63,6607;0,2692;63,6607
12214,2845;3,6430;0,1244;62,4582;0,2697;62,4582
12271,3531;3,6430;0,1244;61,0554;0,2851;61,0554
12329,4212;3,6430;0,1244;62,6587;0,2596;62,6587
12387,6543;3,6430;0,1243;60,4542;0,2727;60,4542
12446,1139;3,6430;0,1243;62,5251;0,2580;62,5251
12503,4458;3,6430;0,1243;61,8570;0,2647;61,8570
12560,4123;3,6430;0,1244;61,0554;0,2885;61,0554
12618,4744;3,6430;0,1244;59,8530;0,2869;59,8530
12676,2304;3,6430;0,1244;61,5230;0,2693;61,5230
12734,1220;3,6430;0,1242;61,1890;0,2828;61,1890
12791,3007;3,6430;0,1243;63,9279;0,2444;63,9279
12849,6957;3,6430;0,1242;63,1263;0,2562;63,1263
12907,4721;3,6430;0,1242;60,9218;0,2847;60,9218
12965,2820;3,6430;0,1244;61,7902;0,2641;61,7902
13022,8730;3,6430;0,1242;63,3935;0,2509;63,3935
13080,8281;3,6430;0,1243;61,4562;0,2774;61,4562
13138,7184;3,6430;0,1242;61,3226;0,2770;61,3226
13196,6878;3,6430;0,1241;62,3246;0,2556;62,3246
13254,8778;3,6430;0,1242;63,2599;0,2587;63,2599
13313,3157;3,6430;0,1242;61,3894;0,2796;61,3894
13371,6935;3,6430;0,1244;62,0574;0,2803;62,0574
13429,8763;3,6430;0,1242;61,9238;0,2703;61,9238
13488,4997;3,6430;0,1242;61,5230;0,2780;61,5230
13547,1594;3,6430;0,1243;62,1910;0,2667;62,1910
13608,6010;3,6430;0,1241;62,7255;0,2589;62,7255
13670,3549;3,6430;0,1242;62,6587;0,2516;62,6587
13730,3402;3,6430;0,1241;61,5898;0,2706;61,5898
13790,9055;3,6430;0,1240;62,4582;0,2588;62,4582
13848,8015;3,6430;0,1242;61,3894;0,2724;61,3894
13906,3573;3,6430;0,1242;62,1242;0,2645;62,1242
13964,0970;3,6430;0,1242;62,5919;0,2659;62,5919
14022,1943;3,6430;0,1241;62,0574;0,2676;62,0574
14079,6533;3,6430;0,1241;62,6587;0,2579;62,6587
14137,2808;3,6430;0,1240;61,7234;0,2660;61,7234
14194,3692;3,6430;0,1240;62,1242;0,2626;62,1242
14252,5835;3,6430;0,1241;61,5230;0,2712;61,5230
14310,8088;3,6430;0,1241;61,8570;0,2662;61,8570
14367,8416;3,6430;0,1241;62,5919;0,2598;62,5919
14425,3499;3,6430;0,1239;61,8570;0,2736;61,8570
14482,2760;3,6430;0,1240;62,7255;0,2599;62,7255
14540,5567;3,6430;0,1241;61,5230;0,2712;61,5230
14598,4581;3,6430;0,1240;61,9906;0,2654;61,9906
14655,8704;3,6430;0,1241;62,4582;0,2641;62,4582
14714,1294;3,6430;0,1240;62,1242;0,2662;62,1242
14771,7855;3,6430;0,1241;61,2558;0,2804;61,2558
14828,7805;3,6430;0,1241;61,5898;0,2703;61,5898
14886,6357;3,6430;0,1239;62,3914;0,2642;62,3914
14944,6912;3,6430;0,1241;62,3914;0,2622;62,3914
15002,0290;3,6430;0,1241;61,3894;0,2722;61,3894
15059,9002;3,6430;0,1240;62,6587;0,2628;62,6587
15117,5064;3,6430;0,1240;61,8570;0,2706;61,8570
15176,6525;3,6430;0,1240;62,6587;0,2631;62,6587
15236,3502;3,6430;0,1241;62,4582;0,2636;62,4582
15295,8447;3,6430;0,1239;61,9238;0,2741;61,9238
15355,8760;3,6430;0,1239;61,9238;0,2637;61,9238
15415,1624;3,6430;0,1240;62,7255;0,2625;62,7255
15472,7852;3,6430;0,1240;62,8591;0,2554;62,8591
15530,9076;3,6430;0,1239;62,5919;0,2670;62,5919
15588,5682;3,6430;0,1240;61,3894;0,2721;61,3894
15647,6209;3,6430;0,1240;62,7923;0,2604;62,7923
15706,0712;3,6430;0,1239;62,1242;0,2692;62,1242
15781,3967;3,6430;0,1241;61,7902;0,2734;61,7902
15856,3797;3,6430;0,1240;62,1910;0,2648;62,3246
15931,2173;3,6430;0,1240;62,3914;0,2647;62,1910
16006,7612;3,6430;0,1241;62,2578;0,2663;61,9906
16081,5972;3,6430;0,1239;62,9927;0,2577;63,3267
16156,5521;3,6430;0,1238;62,1242;0,2652;62,8591
16230,8422;3,6430;0,1240;61,5230;0,2781;61,8570
16305,0025;3,6430;0,1240;62,6587;0,2635;63,9947
16378,7558;3,6430;0,1241;62,4582;0,2623;63,2599
16453,0839;3,6430;0,1240;61,9238;0,2738;62,1242
16527,3019;3,6430;0,1239;62,8591;0,2584;64,1283
16600,7593;3,6430;0,1240;61,8570;0,2707;63,7275
16674,8847;3,6430;0,1240;61,3894;0,2746;61,1222
16748,7874;3,6430;0,1239;63,0595;0,2550;63,4603
16823,0624;3,6430;0,1240;62,7255;0,2625;62,6587
16897,9506;3,6430;0,1241;62,5919;0,2629;61,3226
16975,0044;3,6430;0,1240;62,4582;0,2635;62,5919
17053,4592;3,6430;0,1239;61,7902;0,2715;61,8570
17131,9265;3,6430;0,1241;62,9259;0,2636;62,4582
17205,7873;3,6430;0,1240;62,7255;0,2621;62,0574
17280,2701;3,6430;0,1240;62,8591;0,2653;62,1242
17354,8095;3,6430;0,1240;62,5251;0,2605;59,9866
17428,9739;3,6430;0,1241;62,3246;0,2644;60,7214
17503,5537;3,6430;0,1239;62,2578;0,2638;58,9846
17577,9773;3,6430;0,1241;61,7902;0,2699;58,1162
17652,6581;3,6430;0,1240;61,9906;0,2641;57,4482
17726,1658;3,6430;0,1240;61,6566;0,2666;57,7822
17800,3967;3,6430;0,1241;62,9927;0,2556;57,1142
17874,3350;3,6430;0,1241;61,7902;0,2746;57,8490
17948,7354;3,6430;0,1240;62,5251;0,2607;54,7094
