time;train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_swa
2731,4382;98,6159;0,4796;43,7931;1,8436;43,7931
2749,3166;98,2699;0,4889;52,7586;1,2815;52,7586
2766,7709;96,1938;0,4989;43,7931;1,3574;43,7931
2784,7662;98,2699;0,4838;47,2414;1,3422;47,2414
2803,5550;98,2699;0,4863;48,6207;1,2985;48,6207
2820,9419;99,3080;0,4756;46,8966;1,2920;46,8966
2838,2273;98,9619;0,4732;51,0345;1,3028;51,0345
2856,2174;100,0000;0,4594;49,3103;1,1887;49,3103
2874,0564;99,3080;0,4656;62,0690;0,9054;62,0690
2892,0816;98,6159;0,4925;45,8621;1,5352;45,8621
2909,1229;98,6159;0,4656;62,7586;0,8839;62,7586
2926,2896;99,3080;0,4435;49,6552;1,1948;49,6552
2943,6552;94,8097;0,5151;57,5862;1,2344;57,5862
2960,8218;95,8478;0,5047;41,3793;1,7727;41,3793
2978,2036;96,5398;0,5148;45,1724;1,7126;45,1724
2995,4579;98,2699;0,4952;56,2069;1,0880;56,2069
3011,9004;99,6540;0,4870;61,3793;0,9000;61,3793
3028,1399;99,6540;0,4527;57,2414;1,0762;57,2414
3044,7229;99,6540;0,4392;45,1724;1,3646;45,1724
3061,9000;100,0000;0,4425;52,7586;1,1798;52,7586
3078,2669;99,6540;0,4523;65,8621;0,8385;65,8621
3095,0229;97,5779;0,4877;58,2759;1,0438;58,2759
3111,6243;100,0000;0,4371;62,7586;0,8981;62,7586
3128,4285;100,0000;0,4290;51,0345;1,1267;51,0345
3145,1277;96,8858;0,5328;50,0000;1,2924;50,0000
3161,8726;98,9619;0,4644;45,1724;1,9330;45,1724
3178,2406;98,9619;0,4696;52,4138;1,1968;52,4138
3194,7146;98,2699;0,4966;49,6552;1,2616;49,6552
3211,0455;99,6540;0,4634;48,2759;1,3373;48,2759
3227,3900;99,3080;0,4840;57,9310;1,0288;57,9310
3243,5636;98,9619;0,4686;51,0345;1,1639;51,0345
3259,9774;97,9239;0,4840;48,2759;1,3363;48,2759
3276,5492;100,0000;0,4233;60,3448;0,8965;60,3448
3292,4505;100,0000;0,4345;56,2069;0,9685;56,2069
3309,2004;100,0000;0,4249;55,5172;1,2645;55,5172
3325,5410;100,0000;0,4311;53,4483;1,1315;53,4483
3341,8304;99,6540;0,4425;54,1379;1,0798;54,1379
3358,1916;100,0000;0,4295;53,1034;1,0792;53,1034
3374,8905;100,0000;0,4323;62,4138;0,9381;62,4138
3391,1960;98,9619;0,4615;62,4138;0,9589;62,4138
3407,4121;100,0000;0,4584;51,3793;1,1406;51,3793
3423,7760;100,0000;0,4433;61,7241;1,0387;61,7241
3440,6799;99,6540;0,4520;58,2759;1,0557;58,2759
3456,9906;100,0000;0,4197;58,6207;0,9211;58,6207
3473,8111;100,0000;0,4266;61,7241;0,9006;61,7241
3490,0675;100,0000;0,4207;62,7586;0,8647;62,7586
3506,9534;99,6540;0,4487;64,8276;0,8797;64,8276
3523,8357;100,0000;0,4231;63,7931;0,8420;63,7931
3540,6924;100,0000;0,4256;55,5172;0,9271;55,5172
3556,9008;99,6540;0,4275;68,2759;0,8159;68,2759
3573,1825;99,6540;0,4222;60,3448;0,9207;60,3448
3590,0262;100,0000;0,4179;64,1379;0,8648;64,1379
3608,0383;100,0000;0,4345;64,8276;0,8311;64,8276
3625,4837;100,0000;0,4211;50,0000;1,1777;50,0000
3641,8339;100,0000;0,4679;59,6552;0,9747;59,6552
3657,9580;100,0000;0,4423;54,4828;1,1366;54,4828
3674,7325;100,0000;0,4451;50,6897;1,1784;50,6897
3692,3227;99,3080;0,4618;60,6897;0,9169;60,6897
3708,4465;99,3080;0,4607;56,5517;1,0028;56,5517
3724,7959;100,0000;0,4392;63,7931;0,8771;63,7931
3741,8313;100,0000;0,4399;51,3793;1,1501;51,3793
3758,1199;99,3080;0,4395;50,6897;1,0788;50,6897
3775,1419;99,3080;0,4651;56,5517;1,0993;56,5517
3792,2042;99,6540;0,4514;48,2759;1,3885;48,2759
3808,5755;99,3080;0,4299;55,1724;1,0595;55,1724
