inf-norm-min-adv-dist;inf-norm-PGD-dist;inf-norm-sec-att-dist;inf-norm-Clever-0.0-samples;2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.007679462432861328;0.007679462432861328;0.7958818078041077;0.0;0.8323941230773926;0.8323941230773926;1.3473913669586182;0.0
0.00769275426864624;0.00769275426864624;0.9846816062927246;0.0;0.8327288627624512;0.8327288627624512;1.4723044633865356;0.0
0.007695138454437256;0.007695138454437256;0.8625410199165344;0.0;0.8349766135215759;1.7096788883209229;0.8349766135215759;0.0
0.0077318549156188965;0.0077318549156188965;0.9458320736885071;0.0;0.8378523588180542;0.8378523588180542;0.9389834403991699;0.0
0.007741674780845642;0.007741674780845642;0.9996135234832764;0.0;0.838138997554779;1.072928547859192;0.838138997554779;0.0
0.007770895957946777;0.007770895957946777;0.9877605438232422;0.0;0.8382110595703125;1.2463405132293701;0.8382110595703125;0.0
0.00780031643807888;0.00780031643807888;0.9990859627723694;0.0;0.8387129306793213;1.271908164024353;0.8387129306793213;0.0
0.007839590311050415;0.007839590311050415;0.907361626625061;0.0;0.8402101993560791;1.353991985321045;0.8402101993560791;0.0
0.007853329181671143;0.007853329181671143;0.8368921279907227;0.0;0.8407424092292786;1.2298554182052612;0.8407424092292786;0.0
0.007881782948970795;0.007881782948970795;0.8483755588531494;0.0;0.8410468697547913;1.2484303712844849;0.8410468697547913;0.0
0.007964551448822021;0.007964551448822021;0.923429012298584;0.0;0.8412832021713257;1.1916782855987549;0.8412832021713257;0.0
0.007966160774230957;0.007966160774230957;0.9233896732330322;0.0;0.8438037633895874;1.4735898971557617;0.8438037633895874;0.0
0.008027702569961548;0.008027702569961548;0.9730144739151001;0.0;0.8488557934761047;0.8488557934761047;1.1537081003189087;0.0
0.00803530216217041;0.00803530216217041;0.8359129428863525;0.0;0.8489134311676025;1.1998231410980225;0.8489134311676025;0.0
0.008077576756477356;0.008077576756477356;0.8681181073188782;0.0;0.8502097725868225;1.7775870561599731;0.8502097725868225;0.0
0.008103430271148682;0.008103430271148682;0.7166939973831177;0.0;0.8513161540031433;0.8513161540031433;1.278981328010559;0.0
0.008134424686431885;0.008134424686431885;0.5857799053192139;0.0;0.8517072796821594;0.8517072796821594;1.211837887763977;0.0
0.008139654994010925;0.008139654994010925;0.8324796557426453;0.0;0.8549814224243164;1.2099547386169434;0.8549814224243164;0.0
0.008154377341270447;0.008154377341270447;0.9986648559570312;0.0;0.8556718826293945;1.2590333223342896;0.8556718826293945;0.0
0.008168201893568039;0.008168201893568039;0.8956946134567261;0.0;0.8634800910949707;0.8634800910949707;0.9911925792694092;0.0
0.008180007338523865;0.008180007338523865;0.9356563687324524;0.0;0.8636841177940369;1.7796907424926758;0.8636841177940369;0.0
