2-norm-min-adv-dist;2-norm-PGD-dist;2-norm-sec-att-dist;2-norm-Clever-0.0-samples
0.1508772373199463;0.1508772373199463;0.28725355863571167;0.0
0.15337054431438446;0.15337054431438446;0.3040652573108673;0.0
0.15369893610477448;0.15369893610477448;0.24899694323539734;0.0
0.1541580855846405;0.1541580855846405;0.2843441963195801;0.0
0.15520089864730835;0.15520089864730835;0.2585245370864868;0.0
0.1568765640258789;0.1568765640258789;0.22825987637043;0.0
0.16009333729743958;0.16009333729743958;0.26165252923965454;0.0
0.16134870052337646;0.16134870052337646;0.2934272587299347;0.0
0.1618986576795578;0.1618986576795578;0.3692556619644165;0.0
0.16216188669204712;0.16216188669204712;0.28745946288108826;0.0
0.16232627630233765;0.16232627630233765;0.33483967185020447;0.0
0.1626683920621872;0.1626683920621872;0.610493540763855;0.0
0.16298037767410278;0.16298037767410278;0.5955536365509033;0.0
0.16377227008342743;0.16377227008342743;0.23765325546264648;0.0
0.16456051170825958;0.4618973135948181;0.16456051170825958;0.0
0.16471102833747864;0.16471102833747864;0.23829391598701477;0.0
0.16480350494384766;0.16480350494384766;0.31991812586784363;0.0
0.16504636406898499;0.16504636406898499;0.26707589626312256;0.0
0.1654266119003296;0.1654266119003296;0.19379401206970215;0.0
0.16598935425281525;0.16598935425281525;0.27441707253456116;0.0
0.16705290973186493;0.16705290973186493;0.37257570028305054;0.0
0.167215496301651;0.167215496301651;0.22454185783863068;0.0
0.16726844012737274;0.16726844012737274;0.2998608648777008;0.0
0.16771923005580902;0.16771923005580902;0.19259610772132874;0.0
0.16820894181728363;0.16820894181728363;0.27326151728630066;0.0
0.16863524913787842;0.16863524913787842;0.4864530861377716;0.0
0.1732988953590393;0.1732988953590393;0.2425638735294342;0.0
0.1752086877822876;0.1752086877822876;0.30040135979652405;0.0
0.17569981515407562;0.17569981515407562;0.7893416285514832;0.0
0.1763773113489151;0.1763773113489151;0.2851785123348236;0.0
0.1764320582151413;0.1764320582151413;0.29204416275024414;0.0
0.17803557217121124;0.17803557217121124;0.4194428026676178;0.0
0.17843413352966309;0.17843413352966309;0.7650450468063354;0.0
0.18003852665424347;0.18003852665424347;0.3654458224773407;0.0
0.18521344661712646;0.18521344661712646;0.35982179641723633;0.0
0.18541847169399261;0.18541847169399261;0.28017544746398926;0.0
0.18642540276050568;0.18642540276050568;0.432282418012619;0.0
0.1899787336587906;0.1899787336587906;0.491055428981781;0.0
0.19274920225143433;0.19274920225143433;0.356456458568573;0.0
0.19292832911014557;0.19292832911014557;0.3401087820529938;0.0
0.1941659152507782;0.1941659152507782;0.7064290642738342;0.0
0.19445888698101044;0.19445888698101044;0.4609264135360718;0.0
0.1952703446149826;0.1952703446149826;0.4589018225669861;0.0
0.19847586750984192;0.19847586750984192;0.3441099524497986;0.0
0.199666365981102;0.199666365981102;0.4790191054344177;0.0
0.19981394708156586;0.19981394708156586;0.26576244831085205;0.0
0.20289897918701172;0.20289897918701172;0.28449538350105286;0.0
0.2038206309080124;0.2038206309080124;0.5042816400527954;0.0
0.2041633129119873;0.2041633129119873;0.4291960895061493;0.0
0.20432089269161224;0.2939739525318146;0.20432089269161224;0.0
0.204830601811409;0.204830601811409;0.40704479813575745;0.0
0.2048763930797577;0.2048763930797577;0.3470287024974823;0.0
0.20540130138397217;0.20540130138397217;0.32228323817253113;0.0
0.20566806197166443;0.20566806197166443;0.30265378952026367;0.0
0.20900560915470123;0.20900560915470123;0.346596360206604;0.0
0.2093159258365631;0.2093159258365631;0.3674890995025635;0.0
0.2104729861021042;0.2104729861021042;0.3718743920326233;0.0
0.2124655544757843;0.2124655544757843;0.5401021838188171;0.0
0.2129799872636795;0.2129799872636795;0.5099681615829468;0.0
0.21586918830871582;0.21586918830871582;0.845929741859436;0.0
0.21624018251895905;0.21624018251895905;0.26449865102767944;0.0
0.21666871011257172;0.21666871011257172;0.45354053378105164;0.0
0.21768155694007874;0.21768155694007874;0.4186590313911438;0.0
0.21939703822135925;0.21939703822135925;0.345887690782547;0.0
0.2201528400182724;0.2201528400182724;0.3838036358356476;0.0
0.22082959115505219;0.22082959115505219;0.6290085911750793;0.0
0.2218511998653412;0.2218511998653412;0.42283618450164795;0.0
0.22228650748729706;0.22228650748729706;0.3549133539199829;0.0
